transcriptid	foldchange	DEstatus
ENST00000012049.9	1	FALSE
ENST00000156499.6	1	FALSE
ENST00000160713.8	1	FALSE
ENST00000204604.5	1	FALSE
ENST00000204801.12	1	FALSE
ENST00000205386.8	1	FALSE
ENST00000215754.7	1	FALSE
ENST00000216756.10	1	FALSE
ENST00000217289.8	1	FALSE
ENST00000219320.8	1	FALSE
ENST00000219454.9	1	FALSE
ENST00000219478.10	1	FALSE
ENST00000219551.2	1	FALSE
ENST00000219596.5	1	FALSE
ENST00000225550.3	1	FALSE
ENST00000226317.9	1	FALSE
ENST00000229387.6	1	FALSE
ENST00000229971.2	1	FALSE
ENST00000230122.3	1	FALSE
ENST00000236709.3	1	FALSE
ENST00000241891.9	1	FALSE
ENST00000243045.9	1	FALSE
ENST00000243050.5	1	FALSE
ENST00000243501.9	1	FALSE
ENST00000243706.8	1	FALSE
ENST00000244020.4	1	FALSE
ENST00000244302.8	1	FALSE
ENST00000244303.10	1	FALSE
ENST00000244496.5	1	FALSE
ENST00000246043.8	1	FALSE
ENST00000246105.4	1	FALSE
ENST00000250699.2	1	FALSE
ENST00000252034.11	1	FALSE
ENST00000252723.2	1	FALSE
ENST00000253693.6	1	FALSE
ENST00000253794.6	1	FALSE
ENST00000253799.7	1	FALSE
ENST00000254090.8	1	FALSE
ENST00000254351.8	1	FALSE
ENST00000255416.8	1	FALSE
ENST00000256398.12	1	FALSE
ENST00000256682.8	1	FALSE
ENST00000257765.9	1	FALSE
ENST00000258424.2	1	FALSE
ENST00000259667.5	1	FALSE
ENST00000260270.2	1	FALSE
ENST00000261016.10	1	FALSE
ENST00000261017.9	1	FALSE
ENST00000261018.11	1	FALSE
ENST00000261318.4	1	FALSE
ENST00000262093.9	1	FALSE
ENST00000262238.8	1	FALSE
ENST00000262464.8	1	FALSE
ENST00000262482.10	1	FALSE
ENST00000263812.8	1	FALSE
ENST00000264790.6	1	FALSE
ENST00000265132.7	1	FALSE
ENST00000265293.8	1	FALSE
ENST00000265992.9	1	FALSE
ENST00000268661.7	1	FALSE
ENST00000272452.6	1	FALSE
ENST00000273411.2	1	FALSE
ENST00000273936.5	1	FALSE
ENST00000274000.9	1	FALSE
ENST00000274254.9	1	FALSE
ENST00000274255.10	1	FALSE
ENST00000275015.9	1	FALSE
ENST00000276105.3	1	FALSE
ENST00000276201.6	1	FALSE
ENST00000276737.10	1	FALSE
ENST00000277540.6	1	FALSE
ENST00000277945.11	1	FALSE
ENST00000278544.9	1	FALSE
ENST00000278612.8	1	FALSE
ENST00000280330.12	1	FALSE
ENST00000280979.8	1	FALSE
